date,open,high,low,close,volume
2025-10-27,307.8,313.5,302.88,313.09,9868151
2025-10-28,312.6,319.35,311.41,312.57,6044770
2025-10-29,312.79,314.33,307.52,308.21,4135948
2025-10-30,306.65,313.75,305.02,310.06,4694275
2025-10-31,312.0,313.5,301.63,307.41,7697499
2025-11-03,308.0,312.1411,304.23,304.73,4957958
2025-11-04,300.0,303.17,296.0,300.85,5677330
2025-11-05,301.38,307.2,299.71,306.77,4633195
2025-11-06,306.75,315.44,301.09,312.42,6818521
2025-11-07,309.68,310.0,302.6301,306.38,5070773
2025-11-10,306.82,309.94,304.23,309.13,2975188
2025-11-11,309.0,317.91,308.43,313.72,4381913
2025-11-12,319.89,324.9,314.5324,314.98,6042686
2025-11-13,312.29,314.6,303.68,304.86,5310150
2025-11-14,300.0,307.72,297.59,305.69,3592455
2025-11-17,305.59,306.0,296.51,297.17,3909741
2025-11-18,297.0,297.0,289.92,289.95,4861928
2025-11-19,290.5,291.1099,288.07,288.53,3595912
2025-11-20,294.64,300.71,290.16,290.4,5597028
2025-11-21,293.48,300.48,291.89,297.44,5710903
2025-11-24,299.18,307.18,297.51,304.12,6050640
2025-11-25,304.125,306.0,297.06,304.48,2825322
2025-11-26,305.18,306.6,301.64,303.21,2196446
2025-11-28,304.06,309.18,303.6,308.58,1689031
2025-12-01,306.505,307.12,302.8,305.67,3166555
2025-12-02,307.0,310.4675,301.57,301.78,4261100
2025-12-03,302.88,303.97,298.905,302.62,3953390
2025-12-04,302.875,309.61,302.54,307.99,2962463
2025-12-05,308.59,311.83,307.18,307.94,2344667
2025-12-08,309.62,315.3454,307.95,309.18,3615794
2025-12-09,309.63,313.97,308.75,310.48,2914275
2025-12-10,310.23,314.69,306.6513,312.67,3411524
2025-12-11,312.0,313.44,308.4,310.74,2755749
2025-12-12,310.57,311.05,303.33,309.24,2953374
2025-12-15,308.985,311.3629,306.35,308.66,3566732
2025-12-16,307.315,307.38,300.42,303.18,3366878
2025-12-17,303.79,306.25,303.08,303.32,3130954
2025-12-18,303.15,304.45,295.7,300.45,5411669
2025-12-19,300.35,306.86,299.1,300.98,11031341
2025-12-22,301.03,303.18,298.32,302.79,2612100
2025-12-23,301.34,305.13,300.65,303.78,2923037
2025-12-24,303.76,305.15,302.3,304.56,1210642
2025-12-26,304.69,305.75,303.665,305.09,2814732
2025-12-29,304.65,310.0,303.75,305.74,4664711
2025-12-30,306.15,306.235,302.0,302.05,1883651
2025-12-31,301.76,301.85,295.87,296.21,3430133
2026-01-02,297.56,297.5699,289.0,291.5,4662804
2026-01-05,295.77,299.19,294.25,294.97,4189960
2026-01-06,295.0,303.04,294.42,302.47,4147315
2026-01-07,302.5,304.31,296.345,296.73,2833274
2026-01-08,295.0,303.67,295.0,302.72,3343273
2026-01-09,302.61,307.0,302.0,304.22,2718828
2026-01-12,302.62,312.33,299.96,312.18,3895197
2026-01-13,311.6,312.81,301.87,303.16,4507760
2026-01-14,303.5,309.19,301.5,309.03,3779045
2026-01-15,309.0,311.88,297.04,297.95,4932480
2026-01-16,301.0,307.45,300.78,305.67,6199635
2026-01-20,301.35,301.6,290.16,291.35,7211706
2026-01-21,292.76,297.67,292.51,297.54,5185023
2026-01-22,299.42,300.93,293.53,294.67,3670152
2026-01-23,294.07,294.335,289.79,292.44,3298424
2026-01-26,293.16,296.815,293.14,296.33,3726890
2026-01-27,297.16,297.33,293.27,293.86,2944722
2026-01-28,294.17,295.95,291.2601,294.16,5790347
2026-01-29,317.86,319.9,303.47,309.24,10124929
2026-01-30,307.6,307.783,299.73,306.7,5940669
2026-02-02,307.51,316.64,306.41,314.73,4581189
2026-02-03,312.4,312.975,283.85,294.31,11296020
2026-02-04,291.41,291.41,278.96,289.05,8708033
2026-02-05,286.1,291.81,285.1,289.89,5532797
2026-02-06,292.5,299.89,290.657,298.93,3744313
2026-02-09,295.91,297.72,291.42,296.34,4627815
2026-02-10,294.99,297.61,290.33,291.76,3837343
2026-02-11,292.34,293.5,272.3601,272.81,7628244
2026-02-12,270.3,271.3,257.22,259.52,12565380
2026-02-13,260.0,264.66,256.64,262.38,6842620
2026-02-17,259.2,260.7,254.65,258.31,4929733
2026-02-18,258.64,261.11,256.25,260.79,3949229
2026-02-19,256.0,258.28,253.511,256.28,4948700
2026-02-20,255.195,259.04,253.8,257.16,4708550
2026-02-23,254.37,255.19,220.72,223.35,19522881
2026-02-24,227.8,236.5937,223.63,229.32,13379817
2026-02-25,233.22,239.55,231.22,237.54,8569713
2026-02-26,239.71,247.4899,238.95,242.01,7343055
2026-02-27,238.07,240.21,234.565,240.21,6642222
2026-03-02,235.7,240.78,233.78,239.37,6220287
2026-03-03,236.35,246.09,234.29,245.28,6960369
2026-03-04,245.745,250.85,244.955,250.06,6084995
2026-03-05,249.32,260.38,249.0,256.55,9899962
2026-03-06,256.44,259.3999,252.21,258.85,6234402
2026-03-09,255.38,258.08,251.571,253.33,6126567
2026-03-10,253.26,253.44,246.55,250.2,4937960
2026-03-11,250.005,253.715,247.2,248.87,4012239
2026-03-12,247.1,250.045,245.64,247.68,5547724
2026-03-13,247.67,249.72,244.71,246.28,4338431
2026-03-16,247.87,252.2,246.1,249.25,5674228
2026-03-17,250.51,256.39,250.0,256.11,5840139
2026-03-18,254.16,258.28,250.16,251.6,5177047
2026-03-19,249.43,252.19,248.25,250.37,4249458
2026-03-20,249.0,250.28,241.77,241.77,11314093
